,Time,Sim1,Sim2,Sim3
8835,,Galeet Dardashti,STriCat,Братя Ангелови
8836,,Amel Mathlouthi,Senem Diyici,Sumru Ağıryürüyen
8837,28 March 1980 (age 42),Tri Yann,Erutan,Alizbar
8838,"Sydney, New South Wales, Australia",Rotinda,Mehmet Atlı,Şemdin
8839,,Isaac Levy,Hadass Pal-Yarden,ofri eliaz
8840,,Christos Galanopoulos & Evgenios Voulgaris,Trio Chemirani Ballaké Sissoko Omar Sosa Renaud Garcia-Fons Ross Daly Sylvain Luc Titi Robin,OktoEcho
8841,,Aljub,Serya & Gule,Imaz'Elia
8842,25 November 1939 (age 83),Zbigniew Preisner,Armand Amar,Vassilis Tsabropoulos
8843,25 September 1970,Pilli Bebek,Haluk Levent,Erkin Koray
8844,1996 – 2012 (16 years),Chambao,Los Delinqüentes,Niña Pastori
8845,,Tournée Générale,Arcahuetas,On S'Fait Une Bouffe
8846,,Everly,Tyler Hilton & Bethany Joy Lenz,Bryan Greenberg
8847,23 June 1964 (age 58),Nathan Fillion,Felicia Day & Neil Patrick Harris,"Neil Patrick Harris, Felicia Day & Nathan Fillion"
8848,2005 – present (17 years),This Day & Age,Days Away,Alive In Wild Paint
8849,2002 – 2010 (8 years),Augustana,SafetySuit,Trading Yesterday
8850,2003 – 2009 (6 years),Strays Don't Sleep,Runaway Cab,Bethany Joy Lenz
8851,22 November 1983 (age 39),Kate Voegele,Butch Walker,Gavin DeGraw
8852,"Los Angeles, Los Angeles County, California, United States",Familiar 48,July For Kings,Dakona
8853,2000 – present (22 years),Switchfoot,Jon Foreman,Rend Collective
8854,,詩月カオリ,Mell,川田まみ
8855,19 January 1977 (age 45),Salyu,CHAGE & ASKA,鬼束ちひろ
8856,13 February 1980 (age 42),詩月カオリ,KOTOKO,Mell
8857,1987 – present (35 years),Mr.Children,くるり,斉藤和義
8858,1995 (age 27),Riya,多田葵,Rita
8859,9 May 1984 (age 38),YUKI,青山テルマ,一青窈
8860,13 March 1968 (age 54),JAM Project,林原めぐみ,松本梨香
8861,19 March 1980 (age 42),FictionJunction YUUKA,松澤由美,中川翔子
8862,1993 – present (29 years),藍井エイル,石川智晶,May'n
8863,2004 – present (18 years),タイナカサチ,奥井雅美,藍井エイル
8864,23 March 1976 (age 46),김연우,장혜진,임재범
8865,2001 – 2005 (4 years),Girl Next Door,Every Little Thing,Do As Infinity
8866,19 August 1972 (age 50),佐咲紗花,森口博子,奥井雅美
8867,2003 – present (19 years),FictionJunction,See-Saw,Kalafina
8868,9 October 1973 (age 49),Kiroro,Begin,井上あずみ
8869,3 August 1979 (age 43),上原れな,Ceui,Lia
8870,2001 – 2009 (8 years),Noria,TЁЯRA,YOMA KOMATSU
8871,1999 – 2013 (14 years),小松未歩,愛内里菜,倉木麻衣
8872,1996 – present (26 years),Do As Infinity,TRF,globe
8873,1996 – present (26 years),Shela,片瀬那奈,H∧L
8874,10 December 1971 (age 51),,,
8875,6 November 1982 (age 40),YeLLOW Generation,伊藤由奈,倖田來未
8876,29 March 1969 (age 53),See-Saw,FictionJunction YUUKA,Angela
8877,"Saitama, Japan",いとうかなこ,榊原ゆい,fripSide
8878,14 April 1970 (age 52),中山美穂,小泉今日子,本田美奈子
8879,28 July 1966 (age 56),山崎まさよし,奥田民生,スピッツ
8880,1 May 1981 (age 41),レインブック,岩田さゆり,滴草由実
8881,,Shiho,Healing Leaf,怜奈
8882,11 June 1976 (age 46),yozuca*,橋本みゆき,美郷あき
8883,18 December 1987 (age 34),中島美嘉,MISIA,平原綾香
8884,1997 – present (25 years),Subtle,13 & God,cLOUDDEAD
8885,1999 – 2010 (11 years),Eyedea,Oliver Hart,Atmosphere
8886,,Ashit Desai,,
8887,,Hatred Surge,Mind Eraser,Spazz
8888,2001 – 2002 (1 year),Index for Potential Suicide,Textbook Traitors,This Ship Will Sink
8889,2004 – present (18 years),Magrudergrind,Pig Destroyer,Terrorizer
8890,2005 – present (17 years),Robotosaurus,Captain Cleanoff,In Disgust
8891,,Sage Francis,PENOMECO,Deep Puddle Dynamics
8892,,El-P,Canibus,Ill Bill
8893,9 November 1981,Eyedea & Abilities,Oliver Hart,Atmosphere
8894,,Mangiamo,Molluscum,Corn On Macabre
8895,2002 – present (20 years),ACxDC,Insect Warfare,Yacøpsæ
8896,2006 – present (16 years),Ghoul,Cannibal Corpse,Dying Fetus
8897,,Restiform Bodies,Sole and the Skyrider Band,Micranots
8898,22 June 1974 (age 48),Reaching Quiet,Greenthink,Telephone Jim Jesus
8899,,stellastarr*,The Spinto Band,The Cinematics
8900,1994 – 2017 (22 years),Divididos,El Otro Yo,Bersuit Vergarabat
8901,2002 – present (20 years),Otros Aires,Bajofondo,Gotan Project
8902,2007 – present (15 years),The Other Two,Monaco,Johnny Marr
8903,,,,
8904,10 December 1972 (age 50),Sondre Justad,Vamp,deLillos
8905,2007 – present (15 years),Drumspyder,Shaman's Dream,Desert Dwellers
8906,12 June 1941 (age 81),John Martyn,Bert Jansch,Richard & Linda Thompson
8907,,Pentaphobe,The Toids,Raquy and the Cavemen
8908,1995 – present (27 years),Flesh Field,Collide,Ayria
8909,,Dozer,Orange Goblin,The Atomic Bitchwax
8910,17 February 1653,Georg Philipp Telemann,Domenico Scarlatti,Carl Philipp Emanuel Bach
8911,1989 – 1999 (10 years),Diva Destruction,Faith and the Muse,London After Midnight
8912,,Light Rain,Galactic Caravan,Issam Houshan
8913,16 February 1955 (age 67),Robert Rich,Max Corbacho,Rudy Adrian
8914,1979 – present (43 years),Minimal Compact,Sad Lovers and Giants,The Danse Society
8915,16 September 1098,Anonymous,Guillaume de Machaut,Pérotin
8916,1300,Anonymous,Pérotin,Guillaume Dufay
8917,,Maduro,Galactic Caravan,Oojami
8918,,Subtonix,The Phantom Limbs,Deadchovsky
8919,,Matt Borghi,Drifting in Silence,Terra Ambient
8920,1992 – present (30 years),Bruno & Marrone,Chitãozinho & Xororó,Fernando & Sorocaba
8921,,Antonis Remos & Vardis,Илья Гуров,Akon Feat. Kat DeLuna
8922,29 November 1990 (age 32),Luis Miguel,Anahí,Kudai
8923,,HIM,The 69 Eyes,Jay Vaquer
8924,5 March 1989 (age 33),Sum,Ruch,Catalina Palacios
8925,,Nicole Natalino,Ximena Abarca,Daniela Castillo
8926,,Алиби,Наталья Могилевская,Гайтана
8927,4 September 1975 (age 47),Mark Ronson & The Business Intl,Miley Cyrus,Jessie Ware
8928,24 October 1979 (age 43),Kasia Kowalska,Patrycja Markowska,Ania Wyszkoni
8929,1978 (age 44),Friendly Fires,Shiny Toy Guns,The Faint
8930,,The Treatment,Shakra,Nordic Union
8931,,Pregador Luo,Realidade Cruel,Trilha Sonora do Gueto
8932,2 May 1989 (age 33),Kurt Schneider,JD Relic,David Choi
8933,2007 – present (15 years),Henrique e Diego,João Bosco e Vinicius,Fred e Gustavo
8934,,Thaeme Mariôto,Liah,Rafael Barreto
8935,,Belo,Os Travessos,Jeito Moleque
8936,2 May 1989 (age 33),Kurt Hugo Schneider,Alex Goot,Emblem3
8937,1989 – present (33 years),Art Popular,Katinguelê,Negritude Junior
8938,,Mc Romeu,Mc smith,www.FunkNeurotico.net
8939,2006 – present (16 years),Hungria Hip Hop,Pollo,Mr. Catra
8940,,Bonde da Stronda e DH (CINE),Bonde da Stronda & Leleco22,Diwali & Bonde da Stronda
8941,,Conexão Do Morro,Visão De Rua,De Menos Crime
8942,,Kabhi Alvida Naa Kehna,Honeymoon Travels Pvt. Ltd.,Jab We Met
8943,,,,
8944,11 April 1986 (age 36),Rashid,1Kilo,Oriente
8945,2008 – present (14 years),SUPER JUNIOR,Super Junior K.R.Y.,예성
8946,,Jorge & Mateus Ao Vivo 2009  www.AGITOUNAI.com.br As Melhores Músicas Você Encontra Aqui,www.baixarsertanejo.com,Hugo Pena e Gabriel
8947,,MC Fox,Prexeca Bangers,CHAPARRAUS NUTRS
8948,,Berlitz,David DeAngelo,C. S. Lewis
8949,1994 – present (28 years),Sol D' Menta,Vivanativa,Millo Torres Y El Tercer Planeta
8950,1994 – 2010 (16 years),Dani Martín,Pereza,Estopa
8951,,Fernando Iglesias,Rafaela Pinho,Novo Tom
8952,,Fruto Sagrado,KatsBarnea,Tanlan
8953,2000 – present (22 years),Nova Voz,Rafaela Pinho,Expressão Vocal
8954,1998 – present (24 years),Hillsong Worship,Elevation Worship,Hillsong Young & Free
8955,25 January 1962 (age 60),Rebanhão,Grupo Elo,Asaph Borba
8956,,Sérgio SAAS,Templo Soul,Robson Nascimento
8957,27 March 1963 (age 59),Gerald Albright,Richard Elliot,Boney James
8958,,Coral resgate para a vida,Raiz Coral,Jéssica Augusto
8959,,Charles Dutoit/Daniel Binelli/Orchestre Symphonique De Montréal,Charles Dutoit/Daniel Binelli/Eduardo Isaac/Orchestre Symphonique De Montréal,David Watkin with members of The King's Consort
8960,1991 – present (31 years),Matchbox Twenty,Nine Days,Gin Blossoms
8961,11 July 1958 (age 64),Euge Groove,Ben Tankard,Walter Beasley
8962,8 August 1965 (age 57),Diante do Trono,Eyshila,Soraya Moraes
8963,23 June 1975 (age 47),R.I.O.,Mike Candys,Fedde Le Grand
8964,23 June 1968 (age 54),Davi Sacer,Trazendo a Arca,Fernandinho
8965,2009 – 2016 (7 years),나인뮤지스,시크릿,티아라
8966,28 December 1981 (age 40),남녀공학,소리,가희
8967,,나르샤,5dolls,GP Basic
8968,,Tre +6,Howard McGillin,Kyrah
8969,,Light Leak,Selva Oscura,Dunian
8970,,Saint Vox,Jade Valerie,Symphobia
8971,1979 – present (43 years),Spliff,Ideal,Joe Jackson
8972,20 April 1960 (age 62),David Baldacci,Rebecca Gablé,Ursula Poznanski
8973,6 April 1965 (age 57),Frank Black and the Catholics,Black Francis,Pixies
8974,,General Surgery,Dead Infection,Impaled
8975,1988 – present (34 years),Agathocles,Phobia,The Kill
8976,,Beherit,Havohej,Profanatica
8977,1989 – present (33 years),Black Witchery,Blasphemy,Beherit
8978,1999 – 2013 (14 years),Jig-Ai,Squash Bowels,Regurgitate
8979,,Incantation,Morbid Angel,Asphyx
8980,1986 – present (36 years),Repulsion,Brutal Truth,Napalm Death
8981,1997 – present (25 years),Exhumed,Haemorrhage,General Surgery
8982,1984 – present (38 years),Terrorizer,Impetigo,Brutal Truth
8983,2003 – present (19 years),Nomans Land,Kromlek,Folkodia
8984,,Applauzium,Hans Zimmer; Lisa Gerrard,Old Janissairs Band - Military Museum of Turkiye
8985,1992 – present (30 years),Sarcófago,Bestial Warlust,Angelcorpse
8986,2003 – present (19 years),Nokturnal Mortum,Khors,Dub Buk
8987,1993 – present (29 years),Disgorge,Gorgasm,Internal Bleeding
8988,1987 – present (35 years),Archgoat,Incantation,Autopsy
8989,1994 – 2004 (10 years),Falkenbach,Moonsorrow,Taake
8990,1992 – present (30 years),Haemorrhage,General Surgery,Regurgitate
8991,1986 – 1987 (1 year),Bloodlust,Holocausto,Chakal
8992,1994 – present (28 years),Mucupurulent,Stoma,Lord Gore
8993,1993 – present (29 years),Behexen,Sargeist,Satanic Warmaster
8994,,,,
8995,3 October 1949 (age 73),Fagner,Elba Ramalho,Alceu Valença
8996,,Ponto de Equilíbrio,Velhas Virgens,Raul Seixas
8997,,Moptop,Ludov,Vivendo do Ócio
8998,,Part Six,Preluders,Lexington Bridge
8999,2007 – 2010 (3 years),Banaroo,Hot Banditoz,Lemon Ice
9000,1993 – present (29 years),The Dirty Youth,The Letter Black,Guano Apes
9001,2001 – present (21 years),Ian van Dahl,DJ Ross,Milk Inc.
9002,,DJ Luna,DJ Pavo,Deepack
9003,,Francisco Nixon,La Costa Brava,Tachenko
9004,1990 – present (32 years),Los Planetas,Nacho Vegas,Wild Honey
9005,,Herejes,Zigurat,Narco
9006,,Antiworld,Miguel and The Living Dead,Sleeping Children
9007,,Superputa,Alma-X,Dirty Princess
9008,,スクリュー,ディオ,神楽
9009,,Jack Off Jill,Coal Chamber,Snot
9010,,Fiskales Ad-Hok,Panda,Chingadazo de Kung Fu
9011,21 January 1970 (age 52),Saurom Lamderth,José Andrëa y Uróboros,Savia
9012,4 March 1969 (age 53),Lisa Germano,Anja Garbarek,Anna Ternheim
9013,2016 – present (6 years),The Harbours Band,St. Augustine & His Rovers Dance Band,Dele Ojo & His Star Brothers Band
9014,1986 – present (36 years),The Meas,Cicatriz,Zirrosis
9015,2003 – present (19 years),Glup!,Los Bunkers,Fiskales Ad-Hok
9016,4 January 1993 (age 29),Priscilla Alcântara,Luísa Sonza,Zeeba
9017,2 April 1986 (age 36),David Cook,Kris Allen,Blake Lewis
9018,4 September 1956,Elektrics,Nine Ways To Win,English Evenings
9019,4 October 1957 (age 65),Minor Detail,Peter Godwin,Cee Farrow
9020,1979 – 1985 (6 years),Vicious Pink,Visage,Ultravox
9021,,Cowboys International,Tik & Tok,Music For Pleasure
9022,1979 – 1991 (12 years),Thompson Twins,Naked Eyes,The Fixx
9023,1985 – 1990 (5 years),Little Nemo,Mary Goes Round,The Comsat Angels
9024,14 June 1973 (age 49),Seka Aleksić,Ana Nikolić,Dara Bubamara
9025,25 September 1980 (age 42),Emina Jahović,Jelena Karleuša,Slavica Ćukteraš
9026,27 September 1978 (age 44),Seka Aleksić,Ceca,Jelena Karleusa
9027,2001 – 2016 (15 years),Black Tusk,Torche,Baroness
9028,,Gavin Rossdale,Milk Music,Bush
9029,30 October 1965 (age 57),Bush,Institute,Lifehouse
9030,1999 – present (23 years),Samsas Traum,Letzte Instanz,Tanzwut
9031,,RPWL,Mostly Autumn,Fish
9032,2005 – present (17 years),Scary Bitches,Inkubus Sukkubus,The 69 Eyes
9033,1984 – present (38 years),Pretty Boy Floyd,The Quireboys,Faster Pussycat
9034,1981 – 1983 (2 years),Alaska y Los Pegamoides,Décima Víctima,Size
9035,1981 – 1984 (3 years),Parálisis Permanente,Ataque de caspa,Somos La Herencia
9036,,Paralitikos,La Peste Negra,Zombie Zex
9037,,Sounds of Love and Relaxation Music,Erotic Massage Ensemble,The Galway Christmas Singers
9038,31 January 1797,Robert Schumann,Johannes Brahms,Felix Mendelssohn
9039,5 May 1959 (age 63),Steve Vai,Neal Schon,Steve Morse
9040,2004 – 2014 (10 years),Black Diamond Heavies,Archie Bronson Outfit,The Parlor Mob
9041,22 July 1969 (age 53),Marty Friedman,Vinnie Moore,Cacophony
9042,1980 – 1986 (5 years),Sex Gang Children,The Danse Society,The March Violets
9043,22 October 1956,Dead Boys,Johnny Thunders,The Dictators
9044,,"Dana Fuchs, Evan Rachel Wood, Jim Sturgess & T.V. Carpio",Dana Fuchs & Jim Sturgess,Moulin Rouge
9045,,Breno Barreto,DJ Tommy Love,Amannda
9046,2005 – present (17 years),Rush Of Fools,John Waller,By The Tree
9047,,"De Oliveira, Daniel; Leandra Leal","De Oliveira, Daniel/Leandra Leal","Cazuza/De Oliveira, Daniel"
9048,,Alexxa,Sandy Leah,
9049,22 June 1968 (age 54),Adhemar de Campos,Trazendo a Arca,Nívea Soares
9050,1997 – present (25 years),Nívea Soares,Ludmila Ferber,Fernanda Brum
9051,1 May 1986 (age 36),Sebastian Ingrosso,Axwell,Steve Angello
9052,29 March 1983 (age 39),SOHN,Kwabs,James Blake
9053,"Detroit, Wayne County, Michigan, United States",John Leyton,The Tornadoes,The Honeycombs
9054,8 May 1940,The Fleetwoods,The Platters,Bobby Vinton
9055,1981 – present (41 years),The Nolans,Dollar,Five Star
9056,14 November 1939 (age 83),Isao Tomita,Jerry Goldsmith,Raymond Scott
9057,16 December 1943 (age 78),Jenny Moss,Pamela Blue,Diane & The Javelins
9058,,The DeFranco Family,Bo Donaldson & The Heywoods,Clint Holmes
9059,1974 – 1979 (5 years),Andrea True Connection,France Joli,The Trammps
9060,1988 – present (34 years),The Pete Best Combo,Mike McGear,The Downbeat 5
9061,,Dubmood,zabutom,Datassette
9062,25 May 1877,Ada Jones,American Quartet,Arthur Collins
9063,1977 – 1981 (4 years),Thomas Dolby,Men Without Hats,Naked Eyes
9064,,Herb Alpert,Al Hirt,Alan Hawkshaw
9065,,Glenda Collins,The Pete Best Band,The Four Pennies
9066,2 May 1946,Connie Francis,Nancy Sinatra,Linda Scott
9067,1961 – present (61 years),Billy J. Kramer & The Dakotas,Gerry & The Pacemakers,Freddie & The Dreamers
9068,29 February 1916,Jo Stafford,Doris Day,Helen Forrest
9069,3 May 1903,Burl Ives,Gene Autry,Andy Williams
9070,,DJ Grebo,Dual Echelon,▓▒░ TORLEY ░▒▓
9071,2005 – present (17 years),Iron On,Red Riders,Yves Klein Blue
9072,2007 – present (15 years),Tegan and Sara,"Now, Now",Cursive
9073,,Jenny Lewis,Rilo Kiley,Jenny Lewis with The Watson Twins
9074,1984 (age 38),Chris Wollard & The Ship Thieves,Slow Club,Laura Marling
9075,2002 – present (20 years),Hesta Prynn,Sick of Sarah,I Heart Hiroshima
9076,,Rachael Cantu,Sara Quin,Vivek Shraya
9077,,Get Back Loretta,Rachael Cantu,Dead Cool Dropouts
9078,2004 – present (18 years),Rachael Cantu,Jesus Jackson,Tegan Quin
9079,,N.S.J.,Poème Électronique,Neil Fellowes
9080,,Psychic Stunts,Esquimaux,The Minor Leagues
9081,,Amy Obenski,Vaughan Penn,The Hereafter
9082,,,,
9083,2004 – present (18 years),Nathaniel Rateliff,Milo Greene,Bear's Den
9084,21 September 1982 (age 40),Bat for Lashes,The Mynabirds,Anya Marina
9085,14 April 1968 (age 54),The New Pornographers,Destroyer,Wolf Parade
9086,2004 – present (18 years),Forest City Lovers,Gentleman Reg,The Wooden Sky
9087,1991 – present (31 years),The Queers,The Dollyrots,Bratmobile
9088,1979 – present (43 years),The Psychedelic Furs,Love and Rockets,The Teardrop Explodes
9089,1984 – present (38 years),Big Audio Dynamite,Adam Ant,Heaven 17
9090,2004 – present (18 years),The Sin:Decay,Latexxx Teens,Neon Synthesis
9091,5 May 1959 (age 63),Echo & the Bunnymen,The Wild Swans,The Mighty Lemon Drops
9092,1999 – 2016 (17 years),Wave in Head,Statemachine,Lowe
9093,,Ashish,Your Secret Identity,Kristin Cotts
9094,,Ogun's Will,S.E.M;I,Corrupted Suburbs
9095,,Hank Dogs,,
9096,2001 – present (21 years),Ursula 1000,Ralph Myerz and the Jack Herren Band,Tipsy
9097,1990 – present (32 years),Gravity Kills,Chemlab,Machines of Loving Grace
9098,2004 – present (18 years),Matt Jones,Drunken Barn Dance,Frontier Ruckus
9099,1989 – present (33 years),The Amps,Throwing Muses,Pixies
9100,,Tardiss,Carl Sagan's Ghost,Reiki_Music
9101,,Great White,Damn Yankees,Warrant
9102,1987 – present (35 years),Better Than Ezra,Gin Blossoms,The Partisans
9103,2001 – present (21 years),Tristeza,Caspian,Maserati
9104,,Rho,Opiaulolokop,Acrilic Colors
9105,1980 – present (42 years),The Psychedelic Furs,Love and Rockets,The Chameleons
9106,,The Dandelion Council,Hills West,Saturday Index
9107,1989 – 2020 (31 years),Dokken,Winger,George Lynch
9108,2002 – present (20 years),Alaskan Tapes,Luchs,Loscil
9109,2002 – present (20 years),pg.lost,The Seven Mile Journey,Yndi Halda
9110,,Bjørn Riis,RPWL,Gazpacho
9111,,Mark Lanegan,Mad Season,Mother Love Bone
9112,1988 – present (34 years),Lillian Axe,Dirty Looks,Tuff
9113,1990 – 1991 (1 year),Soundgarden,Mother Love Bone,Chris Cornell
9114,1973 – present (49 years),Paul Rodgers,Bachman-Turner Overdrive,Joe Walsh
9115,26 May 1948 (age 74),Fleetwood Mac,Lindsey Buckingham,Buckingham Nicks
9116,17 December 1949 (age 72),Bad Company,Bachman-Turner Overdrive,Bad English
9117,,Bad Company,AZ,Triumph
9118,,Robert Plant,Jimmy Page & The Black Crowes,Robert Plant And The Strange Sensation
9119,1986 – 2000 (14 years),Jeff Healey,Kenny Wayne Shepherd Band,Alvin Lee
9120,1999 – present (23 years),Androcell,Bluetech,Shpongle
9121,,Side Liner,Lab's Cloud,Astronaut Ape
9122,,21 Hertz,Terranova,Mandalay
9123,,Kilowatts,Androcell,Solar Fields
9124,,Entheogenic,Bluetech,Cell
9125,,AmBeam,Astronaut Ape,Seven24
9126,1979 (age 43),Ruxpin,Kettel,Arovane
9127,2004 – 2013 (9 years),Aquanote,Pauline London,Tennishero
9128,"Dukinfield, Tameside, Greater Manchester, England, United Kingdom",Tor,TM Juke,Yppah
9129,1996 – 2010 (14 years),The Funky Lowlives,Soma Sonic,Nuspirit Helsinki
9130,,Immediate Music,Future World Music,Audiomachine
9131,2004 – present (18 years),Epic North,Really Slow Motion,Mark Petrie
9132,1997 (age 25),Klaus Schonning,Elfin Love Tribe,Ayman
9133,5 June 1956 (age 66),Dave Koz,David Benoit,David Sanborn
9134,,Rupert Gregson-Williams,Abel Korzeniowski,Steven Price
9135,,Pfeifer Broz Music,615 Music,Groove Addicts
9136,28 June 1963 (age 59),tomandandy,Charles Bernstein,Jeff Danna
9137,30 November 1978 (age 44),David Archuleta,David Cook,Nick Lachey
9138,11 March 1994 (age 28),K.I.G.,Master Shortie,Blazin' Squad
9139,,Angel and Kritz ft. Flo Rida,Three 6 Mafia vs. DJ Tiesto ft. Sean Kingston and Flo Rida,Young Money ft. Loyd
9140,,,,
9141,,,,
9142,,,,
9143,1982 – 2009 (26 years),Flans,Kabah,OV7
9144,,Thayruka,Natalie Simmons,MODA
9145,,Rihannaȁ,Rihannaā,Rihanna琀
9146,,Screen Biers,MODA,
9147,,,,
9148,,,,
9149,30 December 1979 (age 42),Rittz,Jelly Roll,Tech N9ne
9150,,Zain Bhikha,Dawud Wharnsby Ali,Nazeel Azami
9151,,Nicki Minaj,Yo Gotti,Birdman
9152,,EMINƎM Feat. Rihanna,Baauer & RL Grime,Нестандартный Вариант
9153,,Khaled Selim,Hamada Helal,Hamo Bika
9154,16 May 1983 (age 39),Yara,Carole Samaha,Elissa
9155,2008 – present (14 years),Bad Meets Evil,"Royce da 5'9""",Obie Trice
9156,19 May 1981 (age 41),Boosie Badazz,Mike Will Made-It,Nicki Minaj
9157,16 August 1977 (age 45),Mohamed Hamaki,Ramy Sabry,Tamer Ashour
9158,18 February 1982 (age 40),The Diplomats,Cam'ron,Jim Jones
9159,,The Synaptik,Faraj Suleiman,El Far3i
9160,2 June 1984 (age 38),Shawn Chrystopher,U-N-I,TiRon
9161,11 March 1980 (age 42),Slim Thug,Mike Jones,Pimp C
